# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1466
#@/user_id	79ab5cc6-16fb-466f-9b2a-142e70327c72
huan4 cheng2 	換成	c=1 d=1 t=373
hui2 dao4 jia1 	回到家	c=1 d=1 t=1338
hui2 tou2 	回頭	c=1 d=1 t=313
hui4 	會	c=7 d=1.21961 t=1400
hun1 yin1 	婚姻	c=1 d=1 t=580
huo2 zhe5 	活着	c=1 d=1 t=463
huo3 	火	c=3 d=1.9265 t=1304
huo3 guang1 	火光	c=1 d=1 t=340
huo4 	或	c=1 d=1 t=1305
huo4 de2 	獲得	c=1 d=1 t=510
huo4 zhe3 	或者	c=1 d=1 t=462
ji1 guan1 	機關	c=2 d=1.7827 t=197
ji1 hui4 	機會	c=1 d=1 t=610
ji1 xie4 	機械	c=1 d=1 t=229
ji2 	及	c=5 d=1.83485 t=1352
ji2 hui4 	集會	c=2 d=1.54607 t=609
ji2 jing4 	寂靜	c=1 d=1 t=879
ji2 shi4 	即是	c=2 d=1.59156 t=1237
ji2 ti3 	集體	c=1 d=1 t=1438
ji3 ya1 	擠壓	c=1 d=1 t=946
ji4 	寄	c=1 d=1 t=1279
ji4 lu4 	記錄	c=1 d=1 t=920
ji4 yi4 	技藝	c=2 d=1.59156 t=1240
ji4 yi4 	記憶	c=1 d=1 t=1303
jia1 	家	c=1 d=1 t=680
jian1 	兼	c=1 d=1 t=1203
jian4 	濺	c=1 d=1 t=1433
jian4 dao4 	見到	c=1 d=1 t=354
jian4 mian4 	見面	c=1 d=1 t=790
jian4 shang3 	鑑賞	c=1 d=1 t=501
jian4 shi4 	見識	c=1 d=1 t=503
jian4 yi4 	建議	c=1 d=1 t=504
jiang1 	將	c=4 d=1.78034 t=1364
jiang1 wo4 	僵臥	c=1 d=1 t=997
jiang3 	講	c=1 d=1 t=11
jiao1 liu2 	交流	c=1 d=1 t=502
jiao4 shi1 	教師	c=3 d=2.92644 t=1392
jie1 	接	c=3 d=2.19842 t=295
jie1 	街	c=7 d=3.05921 t=1092
jie1 kai1 	揭開	c=1 d=1 t=144
jie1 shou1 	接收	c=1 d=1 t=1294
jie1 shou4 	接受	c=1 d=1 t=1293
jie1 xu4 	接續	c=1 d=1 t=1413
jie3 du2 	解讀	c=1 d=1 t=1084
jie3 kai1 	解開	c=2 d=1.97045 t=151
jin1 ri4 	今日	c=1 d=1 t=901
jin3 liang4 	儘量	c=1 d=1 t=430
jin4 hu1 	近乎	c=1 d=1 t=906
jing1 ying2 	經營	c=2 d=1.86936 t=1336
jiu3 gong1 	九宮	c=1 d=1 t=731
jiu4 	就	c=3 d=1.0264 t=987
jiu4 	舊	c=1 d=1 t=1442
jiu4 hui4 	就會	c=1 d=1 t=962
jiu4 qi3 	救起	c=1 d=1 t=475
jiu4 shi4 	就是	c=1 d=1 t=494
jiu4 xiang4 	就像	c=1 d=1 t=472
ju4 you3 	具有	c=1 d=1 t=1248
jue2 de5 	覺得	c=1 d=1.01294 t=800
jue2 shi4 	爵士	c=1 d=1 t=1033
ka3 	卡	c=1 d=1 t=1427
kai1 	開	c=1 d=1 t=894
kai1 guan1 	開關	c=1 d=1 t=986
kai1 kou3 	開口	c=1 d=1 t=740
kan1 guo4 	看過	c=1 d=1 t=1448
kan4 	看	c=2 d=1.39063 t=856
kan4 jian4 	看見	c=1 d=1 t=910
kan4 qing1 	看清	c=1 d=1 t=171
kao3 lv4 	考慮	c=1 d=1 t=832
ke1 	科	c=1 d=1 t=1339
ke1 ji4 	科技	c=1 d=1 t=553
ke2 	殼	c=1 d=1 t=1462
ke3 	可	c=1 d=1 t=1451
ke3 neng2 	可能	c=0 d=0.1 t=1059
ke3 neng2 ma5 	可能嗎	c=1 d=1 t=1060
ke3 yi3 	可以	c=5 d=1.79314 t=1214
ken3 ding4 	肯定	c=1 d=1 t=764
kou3 dai4 	口袋	c=1 d=1 t=157
kua1 zhang1 	誇張	c=1 d=1 t=61
kui1 dao4 	虧到	c=1 d=1 t=1461
kui1 qian2 	虧錢	c=1 d=1 t=395
kui1 qian4 	虧欠	c=1 d=1 t=400
kun4 rao3 	困擾	c=1 d=1 t=409
la1 	拉	c=1 d=1 t=1455
la5 	啦	c=2 d=1.0256 t=823
lai2 	來	c=2 d=1.02802 t=1105
lai2 le5 	來了	c=2 d=1.01463 t=977
lai2 yuan2 	來源	c=1 d=1 t=1120
lao2 yu4 	牢獄	c=1 d=1 t=1326
lao3 ban3 	老闆	c=1 d=1 t=694
le5 	了	c=15 d=2.52244 t=979
le5 ba1 	了吧	c=2 d=1.69073 t=716
li2 jia1 	離家	c=1 d=1 t=1381
li2 kai1 	離開	c=1 d=1 t=703
li3 jie3 	理解	c=1 d=1 t=606
li3 lun4 	理論	c=1 d=1 t=1160
li4 ru2 	例如	c=1 d=1 t=756
lian2 xiang3 	聯想	c=1 d=1 t=115
lian3 cai2 	斂財	c=1 d=1 t=1157
lian4 	練	c=2 d=1.06457 t=597
liang3 ge4 	兩個	c=1 d=1 t=1404
liang3 tian1 	兩天	c=1 d=1 t=932
liao3 jie3 	瞭解	c=1 d=1 t=607
lin2 zou3 	臨走	c=1 d=1 t=138
ling2 	靈	c=4 d=3.20478 t=1271
ling2 sheng1 	鈴聲	c=2 d=1.99501 t=875
ling2 ting1 	聆聽	c=2 d=1.97045 t=514
ling4 ren2 	令人	c=1 d=1 t=191
ling4 yi1 	另一	c=0 d=0.1 t=1015
ling4 yi1 tou2 	另一頭	c=1 d=1 t=1016
liu2 cheng2 	流程	c=1 d=1 t=573
liu2 dong4 	流動	c=1 d=1 t=1102
liu2 lan3 	瀏覽	c=1 d=1 t=921
lou4 dong4 	漏洞	c=2 d=1.00947 t=1026
luo2 ji2 	邏輯	c=1 d=1 t=75
lv3 xing2 	旅行	c=2 d=1.9802 t=762
lv4 se4 	綠色	c=2 d=1.99005 t=372
ma2 fan5 	麻煩	c=1 d=1 t=450
